,Simulated_α,Recovered_α,Simulated_iotaP,Recovered_iotaP,Simulated_iotaPabs,Recovered_iotaP_bs,Simulated_iotaN,Recovered_iotaN,Simulated_iotaNabs,Recovered_iotaNabs
0,0.3088577334172706,0.31551936604716135,0.5912616936922156,0.6103725330126758,0.8517164906484073,0.7181464157812839,0.14101782225053736,0.17614050735070025,0.8785217675088657,0.7463373716337192
1,0.1336387783370124,0.1355380417700526,0.5851183736341163,0.5990074454347485,0.6599099103069427,0.44855662255452833,0.5694156927471233,0.5157598819394261,0.4136991444087748,0.4807502777555987
2,0.6756506995109375,0.672301428403347,0.2834658214445869,0.28884492742206735,0.4739644044793001,0.4844208830669535,0.5840348869016276,0.5916494011316448,0.49503193811808394,0.5024732056188761
3,0.44000385679677756,0.4357728688809508,0.506596669418351,0.523530809940058,0.6704304551375377,0.6977244523436101,0.4887567397231261,0.5046591740081936,0.21930681402177674,0.2287892297464645
4,0.6296381729188301,0.6200233103701506,0.124387277514525,0.13831118788699917,0.44522204559472794,0.4709366841153374,0.5071724031585824,0.5573572091954717,0.17681397742261418,0.18827591044403594
5,0.7808779518380211,0.779293042650346,0.42199910770009436,0.42830874851626516,0.5813319189903972,0.5833555077885794,0.6503246099321618,0.6567807292058739,0.5643879357693148,0.566019909717861
6,0.4002588782002558,0.3892064251850832,0.03924444664324902,0.13086773335154364,0.10168181470366618,0.11365308690704701,0.44839449690811983,0.7914974114174371,0.2616383728090217,0.29131901442307045
7,0.4554652557907422,0.45179855970126837,0.5291582722215763,0.5396007905459905,0.40298844384462085,0.43166361584790314,0.296694238847735,0.30302009214485803,0.6448375381884514,0.6896138676047098
8,0.11500658208906486,0.11573280350509794,0.5206022533304497,0.5819492205434095,0.7359481373186791,0.406818877503408,0.5417708080075978,0.5082417300396378,0.7054920270416505,0.5417298448410159
9,0.9758891072950586,0.9638138854798743,0.5705677464293657,0.5807104954119603,0.7005486678226349,0.7355881613134341,0.8003683835284039,0.8115773570244993,0.3956260867154692,0.40406518148361215
10,0.6521350382799519,0.6476284863406332,0.23504081350606532,0.24160847735122232,0.7460057434901594,0.7737369214799309,0.25882258847169065,0.2671435671822691,0.613984949948161,0.6242810795607766
11,0.6078015729971192,0.6012384115679947,0.2883439036692002,0.3185166628666502,0.4189689572407455,0.43843411155121814,0.7189843276813348,0.7853275480319616,0.3126836036367874,0.32533995371668767
12,0.5613149913372907,0.5564269760667581,0.37161470545851116,0.3820155997647034,0.5989244202503686,0.6192278678033751,0.7575373668569931,0.7774714767943849,0.0962855874941764,0.10103442794661135
13,0.07565554328938011,0.07582485437354032,0.801033120748177,0.48391535357210874,0.7203342811326391,0.4703614568263256,0.5894281602224607,0.5331428378269275,0.5037703051058132,0.5129926016590376
14,0.7712352736603668,0.7706707775963614,0.8447605819774836,0.8458608688912062,0.46076598006896824,0.4628146899325945,0.9070344376972359,0.9077704996081126,0.2801238282684431,0.2810268677333775
15,0.8469105385082595,0.8373737128850041,0.24896146570502029,0.2642379977628497,0.13554461152075048,0.1390753660727993,0.5793050886788994,0.6130609176617845,0.7535986279756777,0.7723853423402537
16,0.8451030435314205,0.8449569489221522,0.47772922644932847,0.47892918026232095,0.7895428884098501,0.7915246626888199,0.7250496240183257,0.726734575606761,0.27565708621877466,0.2755764959588639
17,0.8679656562509056,0.8666520943941741,0.6070622295033931,0.6100103712474184,0.406496055673116,0.4087493593881209,0.4639504415956341,0.4647168576216104,0.6203620057506304,0.6239860080278641
18,0.8057829715320786,0.8051062212501351,0.3171497302587053,0.3181075530377376,0.6866706803273254,0.6901914755667825,0.1634803262213717,0.1641249601048721,0.73794707217577,0.7395288537978747
19,0.7275456762908379,0.7262697485003311,0.4754310708194333,0.4806499133016484,0.606840142977981,0.6110539518389367,0.5678560002366771,0.5694117976247952,0.4116216274747537,0.4136091735550941
